country,proportion,rank,time,value,zhou
美国,39.4449%,1,1961,563300000000,美洲
英国,5.4439%,2,1961,77741965703,欧洲
法国,4.7240%,3,1961,67461644222,欧洲
日本,3.7469%,4,1961,53508617739,亚洲
中国,3.5052%,5,1961,50056868957,亚洲
意大利,3.1401%,6,1961,44842760293,欧洲
加拿大,2.8665%,7,1961,40934952063,美洲
印度,2.7472%,8,1961,39232435784,亚洲
澳大利亚,1.3762%,9,1961,19652816664,大洋洲
瑞典,1.2053%,10,1961,17212686614,欧洲
巴西,1.0670%,11,1961,15236854859,美洲
墨西哥,0.9916%,12,1961,14160000000,美洲
西班牙,0.9687%,13,1961,13834300571,欧洲
荷兰,0.9449%,14,1961,13493833739,欧洲
比利时,0.8683%,15,1961,12400145221,欧洲
瑞士,0.7502%,16,1961,10712712465,欧洲
委内瑞拉,0.5734%,17,1961,8189090909,美洲
土耳其,0.5594%,18,1961,7988888888,欧洲
南非,0.5583%,19,1961,7972996813,非洲
奥地利,0.5120%,20,1961,7311749633,欧洲
菲律宾,0.5082%,21,1961,7256966966,亚洲
丹麦,0.4855%,22,1961,6933842098,欧洲
芬兰,0.4147%,23,1961,5921659485,欧洲
新西兰,0.3970%,24,1961,5670064168,大洋洲
挪威,0.3944%,25,1961,5632460936,欧洲
希腊,0.3474%,26,1961,4961400439,欧洲
孟加拉,0.3373%,27,1961,4817580183,亚洲
智利,0.3228%,28,1961,4609727272,美洲
哥伦比亚,0.3179%,29,1961,4540447761,美洲
尼日利亚,0.3128%,30,1961,4467200335,非洲
伊朗,0.3100%,31,1961,4426949094,亚洲
巴基斯坦,0.2839%,32,1961,4054599181,亚洲
葡萄牙,0.2393%,33,1961,3417516639,欧洲
以色列,0.2198%,34,1961,3138500000,亚洲
刚果（金）,0.2161%,35,1961,3086746857,非洲
泰国,0.2125%,36,1961,3034043574,亚洲
秘鲁,0.2030%,37,1961,2899654840,美洲
阿尔及利亚,0.1705%,38,1961,2434776645,非洲
韩国,0.1693%,39,1961,2417638423,亚洲
爱尔兰,0.1462%,40,1961,2088012282,欧洲
摩洛哥,0.1418%,41,1961,2025689536,非洲
马来西亚,0.1332%,42,1961,1901868548,亚洲
波多黎各,0.1306%,43,1961,1865100000,美洲
伊拉克,0.1283%,44,1961,1831700364,亚洲
乌拉圭,0.1084%,45,1961,1547388781,美洲
斯里兰卡,0.1011%,46,1961,1444327731,亚洲
苏丹,0.0994%,47,1961,1419333333,非洲
香港,0.0969%,48,1961,1383681651,亚洲
加纳,0.0912%,49,1961,1302674264,非洲
津巴布韦,0.0768%,50,1961,1096646600,非洲
危地马拉,0.0754%,51,1961,1076699900,美洲
厄瓜多尔,0.0686%,52,1961,979108806,美洲
叙利亚,0.0662%,53,1961,945244992,亚洲
塞内加尔,0.0586%,54,1961,836493109,非洲
肯尼亚,0.0555%,55,1961,792959472,非洲
新加坡,0.0535%,56,1961,764634783,亚洲
牙买加,0.0524%,57,1961,748028839,美洲
卢森堡,0.0493%,58,1961,704145671,欧洲
马达加斯加,0.0490%,59,1961,699161943,非洲
赞比亚,0.0488%,60,1961,696285714,非洲
喀麦隆,0.0460%,61,1961,657597382,非洲
多米尼加,0.0458%,62,1961,654100200,美洲
柬埔寨,0.0450%,63,1961,642857134,亚洲
科特迪瓦,0.0433%,64,1961,618245639,非洲
玻利维亚,0.0429%,65,1961,612518906,美洲
巴拿马,0.0419%,66,1961,599026300,美洲
特立尼达和多巴哥,0.0410%,67,1961,584961208,美洲
阿富汗,0.0384%,68,1961,548888895,亚洲
尼泊尔,0.0373%,69,1961,531959561,亚洲
哥斯达黎加,0.0343%,70,1961,490325181,美洲
尼日尔,0.0340%,71,1961,485785234,非洲
乌干达,0.0309%,72,1961,441524109,非洲
洪都拉斯,0.0249%,73,1961,356200000,美洲
布基纳法索,0.0245%,74,1961,350247237,非洲
乍得,0.0234%,75,1961,333975336,非洲
塞拉利昂,0.0230%,76,1961,327834680,非洲
海地,0.0190%,77,1961,271066000,美洲
冰岛,0.0178%,78,1961,253885656,欧洲
巴布亚新几内亚,0.0171%,79,1961,244832035,大洋洲
尼加拉瓜,0.0168%,80,1961,240524723,美洲
贝宁,0.0165%,81,1961,235668222,非洲
布隆迪,0.0142%,82,1961,202999992,非洲
索马里,0.0134%,83,1961,191659914,非洲
